variable_name,page_number
HERYLU,381
IIALCBNG30D,192
IIIMFREC,548
HERYR,212
IIALCFM,192
IIIMPCONCN,456
HERYRTOT,113
IIALCFY,188
IIIMPGOUT,457
HIGHBPAGE,541
IIALCRC,179
IIIMPGOUTM,457
HIGHBPEVR,535
IIALCYFU,199
IIIMPHHLD,458
HIGHBPMED,540
IIAMDEIMP,487
IIIMPHHLDM,458
HIVAIDSAG,540
IIAMDELT,487
IIIMPPEOP,457
HIVAIDSEV,534
IIAMDEYR,487
IIIMPPEOPM,457
HLCALL99,38
IIBZOANYYR,185
IIIMPREMEM,456
HLCALLFG,38
IIBZONMYR,187
IIIMPRESP,459
HLCLAST,33
IICBDHMPREC,179
IIIMPRESPM,459
HLCNOTMO,33
IICD2YFU,197
IIIMPSOC,458
HLCNOTYR,33
IICDUAGE,197
IIIMPSOCM,458
HLLOSRSN,34
IICGRAGE,198
IIIMPWORK,459
HLNVCOST,34
IICGRFM,191
IIINHAL30N,194
HLNVNEED,34
IICGRRC,177
IIINHALAGE,203
HLNVOFFR,34
IICGRYFU,198
IIINHALREC,183
HLNVREF,34
IICHMPUS,36
IIINHALYFQ,190
HLNVSOR,35
IICIGAGE,197
IIINHALYFU,203
HLTINALC,32
IICIGFM,191
IIINSUR4,38
HLTINDRG,32
IICIGRC,177
IIKETMINREC,183
HLTINMNT,33
IICIGYFU,197
IIKI17_2,28
HLTINNOS,33
IICOCAGE,200
IIKRATREC,547
HPALCAMT,531
IICOCFM,193
IILSDAGE,201
HPALCCUT,532
IICOCFY,188
IILSDRC,182
HPALCFRQ,532
IICOCRC,180
IILSDYFU,202
HPALCNOT,532
IICOCYFU,200
IIMARIT,13
HPALCPRB,532
IICOSUIPLNYR,460
IIMCDCHP,36
HPALCTX,532
IICOSUITHNK,460
IIMEDICR,36
HPDRGTALK,533
IICOSUITRYYR,461
IIMETHAM30N,195
HPQTTOB,531
IICRKAGE,200
IIMETHAMAGE,203
HPUSEALC,530
IICRKFM,193
IIMETHAMREC,184
HPUSEDRG,530
IICRKFY,189
IIMETHAMYFQ,190
HPUSETOB,530
IICRKRC,181
IIMETHAMYFU,203
HR30EST,115
IICRKYFU,200
IIMHTERED,520
HRBSTWAY,114
IIDAMTFXREC,183
IIMHTINHOSP,520
HRDAYPMO,114
IIDSTCHR12,455
IIMHTINOPL,521
HRDAYPWK,114
IIDSTCHR30,454
IIMHTINRHAB,520
HRDAYPYR,114
IIDSTEFF12,456
IIMHTINRSMH,520
HRFQFLG,113
IIDSTEFF30,454
IIMHTOUTDOC,521
HRNDLREC,263
IIDSTHOP12,455
IIMHTOUTHOSP,521
HRSMKREC,261
IIDSTHOP30,453
IIMHTOUTMHCR,521
HRSNFREC,261
IIDSTNGD12,456
IIMHTOUTOPL,522
HRTCONDAG,538
IIDSTNGD30,454
IIMHTOUTRHAB,521
HRTCONDEV,533
IIDSTNRV12,455
IIMHTOUTSCHL,522
HRTCONDYR,539
IIDSTNRV30,453
IIMHTOUTTHRP,521
HRTOTFG,113
IIDSTRST12,455
IIMHTPEERSPC,522
HTANSWER,527
IIDSTRST30,453
IIMHTPHVID,522
HTINCHE2,527
IIDSTWORST,454
IIMHTRXMED,522
HVYDRKMON,221
IIECSTMOAGE,202
IIMHTSUPPGRP,520
IFATHER,28
IIECSTMOREC,182
IIMJAGE,199
II2ALCFM,192
IIECSTMOYFU,203
IIMJFM,193
II2ALCFY,188
IIEDUHIGHST2,13
IIMJFY,188
II2ALCRC,179
IIFAMIN3,41
IIMJMONVAPE,180
II2CGRFM,191
IIFAMPMT,40
IIMJRC,179
II2CGRRC,177
IIFAMSOC,40
IIMJYFU,199
II2CIGFM,191
IIFAMSSI,40
IIMJYRVAPE,180
II2CIGRC,177
IIFAMSVC,40
IINICVAP30N,192
II2COCFM,193
IIFENTANYYR,184
IINICVAPAGE,198
II2COCFY,189
IIFENTNMYR,186
IINICVAPREC,178
II2COCRC,180
IIFLVVAPREC,547
IINICVAPYFU,199
II2CRKFM,194
IIFSTAMP,40
IINPCOLDREC,270
II2CRKFY,189
IIGHBREC,270
IIOTHHLT,37
II2CRKRC,181
IIHALLUC30N,194
IIOXCNANYYR,184
II2HERFM,194
IIHALLUCAGE,201
IIOXCNNMYR,186
II2HERFY,189
IIHALLUCREC,181
IIPCPAGE,202
II2HERRC,181
IIHALLUCYFQ,190
IIPCPRC,182
II2LSDRC,182
IIHALLUCYFU,201
IIPCPYFU,202
II2MJFM,193
IIHERAGE,201
IIPINC3,41
II2MJFY,188
IIHERFM,194
IIPIPLF,178
II2MJRC,179
IIHERFY,189
IIPIPMN,178
II2PCPRC,182
IIHERRC,181
IIPMNICDEP,68
II2WRKST18,27
IIHERYFU,201
IIPNRANYREC,184
II2WRKSTAT,27
IIHH65_2,29
IIPNRNM30FQ,195
IIALCAGE,199
IIHHSIZ2,28
IIPNRNMAGE,205
Codebook Creation Date: 10/19/2023,563
