"","INTERVIEW INFORMATION","",""
"INTERVIEW INFORMATION","","",""
"LANGVER","Len : 1    LANGUAGE VERSION","",""
"","","Freq","Pct"
"","1 = English ..........................................................................................................................","57151","96.75"
"","2 = Spanish .........................................................................................................................","1918","3.25"
"GQTYPE2","Len : 1    TYPE OF GROUP QUARTER","",""
"","","Freq","Pct"
"","= Not a Group Quarter ........................................................................................................","58981","99.85"
"","C = College Dorm ...............................................................................................................","39","0.07"
"","O = Other ............................................................................................................................","49","0.08"
